lgmID,Core,Longitude,Latitude,T_degC,T_anomaly_degC,turnover,n,uncertainty2sd
LGM_0409,V  4 32,-11.617,35.05,14.85,-2.97,0.32,1,1.61
LGM_0410,V 15168,-39.9,0.2,25.07,-1.93,0.45,3,0.95
LGM_0411,V 16 25,-36.8,5.067,24.53,-2.23,0.18,2,1.16
LGM_0412,V 17 39,-80.433,11.75,26.21,-0,0,1,1.62
LGM_0413,V17-165,-41.9,32.75,19.63,-0.71,0.38,1,1.6
LGM_0414,V 19 19,-78.367,13.233,26.78,0.05,0.36,1,1.66
LGM_0415,V 19 21,-79.35,10.6,26.92,1.02,0.28,1,1.65
LGM_0416,V 19291,-5.25,2,21.55,-0,0,1,1.66
LGM_0417,V 19309,-45.133,31.167,19.61,-1.62,0.43,1,1.63
LGM_0418,V 20241,-41.5,22.133,25.15,0.63,0.13,1,1.61
LGM_0419,V 20242,-43.65,23.367,24.94,0.52,0.12,1,1.61
LGM_0420,V 22 26,-41.25,8.717,24.28,-1.31,0.23,1,1.63
LGM_0421,V 22186,-20.117,3.383,23.26,-2,0.11,2,1.21
LGM_0422,V 22188,-20.917,4.667,24.02,-0.78,0.28,2,1.16
LGM_0423,V 22196,-18.951,13.833,18.52,0.33,0.39,1,1.65
LGM_0424,V 23 23,-44.55,56.068,4.15,-0.99,0.28,1,1.62
LGM_0425,V 23 42,-27.918,62.169,2.89,-4.67,0.8,1,1.64
LGM_0426,V 23 82,-21.933,52.584,0.36,-11.06,0.95,1,1.63
LGM_0427,V 23 83,-24.25,49.868,0.61,-11.69,0.96,1,1.62
LGM_0428,V 23 84,-16.917,46.001,3.92,-9.55,0.79,1,1.64
LGM_0429,V 23 91,-28.567,29.583,18.92,-2.06,0.45,1,1.61
LGM_0430,V 23 98,-19.3,23.117,14.12,-6.05,0.4,1,1.65
LGM_0431,V 24  1,-73.5,36.5,14.43,-3.92,0.42,1,1.64
LGM_0432,V 24 28,-77.95,15.317,26.98,-0.4,0.35,1,1.67
